Month-Year,Number of Tractor Sold
Nov-13,481
Dec-13,567
Jan-14,525
Feb-14,520
Mar-14,587
Apr-14,710
May-14,793
Jun-14,749
Jul-14,871
Aug-14,848
Sep-14,640
Oct-14,581
Nov-14,519
Dec-14,605
31/05/17 16:45,24
31/05/17 16:44,73
31/05/17 16:44,78
31/05/17 16:44,71
31/05/17 16:40,79
31/05/17 16:30,23
31/05/17 16:30,72
31/05/17 16:30,77
31/05/17 16:30,71
31/05/17 16:25,72
31/05/17 16:25,18
31/05/17 16:25,79
31/05/17 16:25,69
31/05/17 16:20,20
31/05/17 16:20,72
31/05/17 16:20,78
31/05/17 16:15,72
31/05/17 16:15,34
31/05/17 16:15,79
31/05/17 16:15,75
31/05/17 16:11,31
31/05/17 16:10,72
31/05/17 16:10,79
31/05/17 16:10,76
31/05/17 16:05,28
31/05/17 16:05,72
31/05/17 16:05,79
31/05/17 16:05,76
31/05/17 16:01,33
31/05/17 16:00,73
31/05/17 16:00,78
31/05/17 16:00,74
31/05/17 15:55,78
31/05/17 15:47,34
31/05/17 15:47,78
31/05/17 15:40,73
31/05/17 15:40,75
31/05/17 15:40,78
31/05/17 15:35,26
31/05/17 15:35,80
31/05/17 15:35,74
31/05/17 15:31,36
31/05/17 15:30,72
31/05/17 15:30,78
31/05/17 15:30,73
31/05/17 15:26,77
31/05/17 15:16,27
31/05/17 15:16,73
31/05/17 15:16,79
31/05/17 15:16,72
31/05/17 15:11,34
31/05/17 15:11,72
31/05/17 15:11,78
31/05/17 15:11,73
31/05/17 15:06,72
31/05/17 15:06,78
31/05/17 15:06,72
31/05/17 15:02,33
31/05/17 15:01,73
31/05/17 15:01,73
31/05/17 15:01,79
31/05/17 15:01,69
31/05/17 14:56,73
31/05/17 14:56,79
31/05/17 14:56,17
31/05/17 14:52,69
31/05/17 14:51,72
31/05/17 14:46,73
31/05/17 14:46,78
31/05/17 14:46,68
31/05/17 14:41,73
31/05/17 14:41,78
31/05/17 14:41,67
31/05/17 14:36,73
31/05/17 14:36,77
31/05/17 14:36,66
31/05/17 14:31,73
31/05/17 14:31,78
31/05/17 14:31,75
31/05/17 14:26,73
31/05/17 14:26,79
31/05/17 14:26,73
31/05/17 14:21,73
31/05/17 14:21,78
31/05/17 14:21,73
31/05/17 14:16,73
31/05/17 14:16,73
31/05/17 14:16,78
31/05/17 14:16,71
31/05/17 14:11,73
31/05/17 14:11,78
31/05/17 14:11,67
31/05/17 14:06,73
31/05/17 14:06,78
31/05/17 14:06,75
31/05/17 14:01,73
31/05/17 14:01,72
31/05/17 14:01,78
31/05/17 14:01,64
31/05/17 13:56,73
31/05/17 13:56,79
31/05/17 13:56,64
31/05/17 13:51,73
31/05/17 13:51,78
31/05/17 13:51,64
31/05/17 13:46,73
31/05/17 13:46,78
31/05/17 13:46,64
31/05/17 13:41,73
31/05/17 13:41,78
31/05/17 13:41,66
31/05/17 13:36,73
31/05/17 13:36,76
31/05/17 13:36,67
31/05/17 13:31,73
31/05/17 13:31,73
31/05/17 13:31,65
31/05/17 13:31,76
31/05/17 13:26,73
31/05/17 13:26,76
31/05/17 13:21,73
31/05/17 13:21,78
31/05/17 13:21,62
31/05/17 13:16,73
31/05/17 13:16,79
31/05/17 13:16,62
31/05/17 13:11,73
31/05/17 13:11,78
31/05/17 13:11,62
31/05/17 13:06,73
31/05/17 13:06,77
31/05/17 13:06,62
31/05/17 13:01,73
31/05/17 13:01,77
31/05/17 13:01,70
31/05/17 12:56,72
31/05/17 12:56,76
31/05/17 12:56,70
31/05/17 12:51,73
31/05/17 12:51,77
31/05/17 12:51,70
31/05/17 12:46,73
31/05/17 12:46,76
31/05/17 12:41,73
31/05/17 12:41,69
31/05/17 12:41,81
31/05/17 12:36,73
31/05/17 12:36,80
31/05/17 12:36,68
31/05/17 12:31,73
31/05/17 12:31,80
31/05/17 12:31,68
31/05/17 12:26,73
31/05/17 12:26,80
31/05/17 12:26,68
31/05/17 12:21,73
31/05/17 12:21,78
31/05/17 12:16,73
31/05/17 12:16,78
31/05/17 12:11,72
31/05/17 12:11,78
31/05/17 12:06,73
31/05/17 12:06,79
31/05/17 12:06,68
31/05/17 12:01,73
31/05/17 12:01,76
31/05/17 12:01,69
31/05/17 11:56,73
31/05/17 11:56,76
31/05/17 11:56,72
31/05/17 11:51,72
31/05/17 11:51,75
31/05/17 11:51,64
31/05/17 11:46,73
31/05/17 11:46,79
31/05/17 11:46,64
31/05/17 11:41,73
31/05/17 11:41,78
31/05/17 11:41,62
31/05/17 11:36,73
31/05/17 11:36,72
31/05/17 11:36,80
31/05/17 11:31,73
31/05/17 11:31,80
31/05/17 11:31,70
31/05/17 11:26,73
31/05/17 11:26,79
31/05/17 11:26,65
31/05/17 11:21,73
31/05/17 11:21,81
31/05/17 11:21,64
31/05/17 11:16,73
31/05/17 11:16,81
31/05/17 11:16,55
31/05/17 11:11,50
31/05/17 11:11,81
31/05/17 11:06,74
31/05/17 11:06,81
31/05/17 11:01,74
31/05/17 11:01,81
31/05/17 10:56,74
31/05/17 10:56,78
31/05/17 10:51,74
31/05/17 10:51,79
31/05/17 10:46,78
31/05/17 10:46,78
31/05/17 10:41,76
31/05/17 10:41,79
31/05/17 10:36,84
31/05/17 10:36,84
31/05/17 10:36,79
31/05/17 10:31,84
31/05/17 10:31,78
31/05/17 10:26,85
31/05/17 10:26,78
31/05/17 10:21,85
31/05/17 10:21,79
31/05/17 10:16,85
31/05/17 10:16,85
31/05/17 10:16,79
31/05/17 10:11,85
31/05/17 10:11,80
31/05/17 10:06,85
31/05/17 10:06,79
31/05/17 10:01,85
31/05/17 10:01,79
31/05/17 9:56,85
31/05/17 9:56,79
31/05/17 9:51,85
31/05/17 9:51,79
31/05/17 9:46,85
31/05/17 9:46,78
31/05/17 9:41,85
31/05/17 9:41,78
31/05/17 9:36,85
31/05/17 9:36,78
31/05/17 9:31,84
31/05/17 9:31,85
31/05/17 9:31,79
31/05/17 9:26,85
31/05/17 9:26,78
31/05/17 9:21,85
31/05/17 9:21,78
31/05/17 9:16,85
31/05/17 9:16,85
31/05/17 9:16,78
31/05/17 9:11,84
31/05/17 9:11,85
31/05/17 9:11,78
31/05/17 9:06,85
31/05/17 9:06,77
31/05/17 9:01,85
31/05/17 9:01,85
31/05/17 9:01,78
31/05/17 8:56,85
31/05/17 8:56,85
31/05/17 8:56,79
31/05/17 8:51,84
31/05/17 8:51,85
31/05/17 8:51,78
31/05/17 8:46,85
31/05/17 8:46,85
31/05/17 8:46,78
31/05/17 8:41,85
31/05/17 8:41,78
31/05/17 8:36,85
31/05/17 8:36,78
31/05/17 8:31,85
31/05/17 8:31,78
31/05/17 8:26,85
31/05/17 8:26,79
31/05/17 8:21,85
31/05/17 8:21,79
31/05/17 8:16,85
31/05/17 8:16,79
31/05/17 8:11,85
31/05/17 8:11,79
31/05/17 8:06,85
31/05/17 8:06,78
31/05/17 8:01,85
31/05/17 8:01,79
31/05/17 7:56,85
31/05/17 7:56,78
31/05/17 7:51,85
31/05/17 7:51,78
31/05/17 7:46,86
31/05/17 7:46,86
31/05/17 7:46,78
31/05/17 7:41,85
31/05/17 7:41,78
31/05/17 7:36,85
31/05/17 7:36,78
31/05/17 7:31,86
31/05/17 7:31,77
31/05/17 7:26,86
31/05/17 7:26,86
31/05/17 7:26,78
31/05/17 7:21,85
31/05/17 7:21,78
31/05/17 7:16,85
31/05/17 7:16,78
31/05/17 7:11,85
31/05/17 7:11,78
31/05/17 7:06,85
31/05/17 7:06,78
31/05/17 7:01,85
31/05/17 7:01,86
31/05/17 7:01,78
31/05/17 6:56,85
31/05/17 6:56,78
31/05/17 6:51,86
31/05/17 6:51,85
31/05/17 6:51,78
31/05/17 6:46,85
31/05/17 6:46,78
31/05/17 6:41,85
31/05/17 6:41,85
31/05/17 6:41,78
31/05/17 6:36,85
31/05/17 6:36,85
31/05/17 6:36,78
31/05/17 6:31,85
31/05/17 6:31,78
31/05/17 6:26,86
31/05/17 6:26,78
31/05/17 6:21,85
31/05/17 6:21,85
31/05/17 6:21,78
31/05/17 6:16,85
31/05/17 6:16,85
31/05/17 6:16,78
31/05/17 6:11,86
31/05/17 6:11,86
31/05/17 6:11,79
31/05/17 6:06,86
31/05/17 6:06,79
31/05/17 6:01,85
31/05/17 6:01,78
31/05/17 5:56,85
31/05/17 5:56,78
31/05/17 5:51,85
31/05/17 5:51,78
31/05/17 5:46,85
31/05/17 5:46,78
31/05/17 5:41,85
31/05/17 5:41,85
31/05/17 5:41,78
31/05/17 5:36,85
31/05/17 5:36,85
31/05/17 5:36,78
31/05/17 5:31,85
31/05/17 5:31,78
31/05/17 5:26,85
31/05/17 5:26,78
31/05/17 5:21,85
31/05/17 5:21,78
31/05/17 5:16,85
31/05/17 5:16,85
31/05/17 5:16,78
31/05/17 5:11,85
31/05/17 5:11,78
31/05/17 5:06,85
31/05/17 5:06,78
31/05/17 5:01,85
31/05/17 5:01,85
31/05/17 5:01,78
31/05/17 4:56,85
31/05/17 4:56,85
31/05/17 4:56,78
31/05/17 4:51,85
31/05/17 4:51,77
31/05/17 4:46,85
31/05/17 4:46,85
31/05/17 4:46,77
31/05/17 4:41,85
31/05/17 4:41,79
31/05/17 4:36,85
31/05/17 4:36,79
31/05/17 4:31,85
31/05/17 4:31,78
31/05/17 4:26,85
31/05/17 4:26,78
31/05/17 4:21,85
31/05/17 4:21,78
31/05/17 4:16,85
31/05/17 4:16,85
31/05/17 4:16,78
31/05/17 4:11,86
31/05/17 4:11,79
31/05/17 4:06,85
31/05/17 4:06,78
31/05/17 4:01,85
31/05/17 4:01,78
31/05/17 3:56,86
31/05/17 3:56,78
31/05/17 3:51,85
31/05/17 3:51,78
31/05/17 3:46,85
31/05/17 3:46,85
31/05/17 3:46,77
31/05/17 3:41,85
31/05/17 3:41,82
31/05/17 3:36,85
31/05/17 3:36,85
31/05/17 3:36,83
31/05/17 3:31,85
31/05/17 3:31,85
31/05/17 3:31,82
31/05/17 3:26,85
31/05/17 3:26,88
31/05/17 3:21,85
31/05/17 3:21,88
31/05/17 3:16,85
31/05/17 3:16,91
31/05/17 3:11,85
31/05/17 3:11,86
31/05/17 3:11,91
31/05/17 3:06,85
31/05/17 3:06,88
31/05/17 3:01,85
31/05/17 3:01,85
31/05/17 2:56,85
31/05/17 2:56,81
31/05/17 2:51,86
31/05/17 2:51,79
31/05/17 2:46,85
31/05/17 2:46,85
31/05/17 2:46,80
31/05/17 2:41,85
31/05/17 2:41,79
31/05/17 2:36,85
31/05/17 2:36,85
31/05/17 2:36,79
31/05/17 2:31,85
31/05/17 2:31,80
31/05/17 2:26,85
31/05/17 2:26,80
31/05/17 2:21,84
31/05/17 2:21,85
31/05/17 2:21,79
31/05/17 2:16,85
31/05/17 2:16,84
31/05/17 2:16,80
31/05/17 2:11,85
31/05/17 2:11,79
31/05/17 2:06,85
31/05/17 2:06,81
31/05/17 2:01,85
31/05/17 2:01,80
31/05/17 1:56,85
31/05/17 1:56,85
31/05/17 1:56,81
31/05/17 1:51,85
31/05/17 1:51,81
31/05/17 1:46,85
31/05/17 1:46,85
31/05/17 1:46,81
31/05/17 1:41,85
31/05/17 1:41,82
31/05/17 1:36,85
31/05/17 1:36,88
31/05/17 1:31,85
31/05/17 1:31,79
31/05/17 1:26,85
31/05/17 1:26,79
31/05/17 1:21,85
31/05/17 1:21,79
31/05/17 1:16,85
31/05/17 1:16,85
31/05/17 1:16,81
31/05/17 1:11,86
31/05/17 1:11,86
31/05/17 1:11,88
31/05/17 1:06,86
31/05/17 1:06,90
31/05/17 1:01,85
31/05/17 1:01,83
31/05/17 0:56,86
31/05/17 0:56,86
31/05/17 0:56,83
31/05/17 0:51,87
31/05/17 0:51,85
31/05/17 0:51,82
31/05/17 0:46,86
31/05/17 0:46,83
31/05/17 0:41,85
31/05/17 0:41,84
31/05/17 0:41,83
31/05/17 0:36,86
31/05/17 0:36,83
31/05/17 0:31,85
31/05/17 0:31,85
31/05/17 0:31,83
31/05/17 0:26,85
31/05/17 0:26,84
31/05/17 0:21,85
31/05/17 0:21,86
31/05/17 0:21,83
31/05/17 0:16,85
31/05/17 0:16,86
31/05/17 0:16,85
31/05/17 0:11,86
31/05/17 0:11,86
31/05/17 0:06,86
31/05/17 0:06,85
31/05/17 0:01,85
31/05/17 0:01,94
30/05/17 23:56,85
30/05/17 23:56,84
30/05/17 23:51,85
30/05/17 23:51,84
30/05/17 23:46,86
30/05/17 23:46,85
30/05/17 23:46,84
30/05/17 23:41,86
30/05/17 23:41,83
30/05/17 23:36,86
30/05/17 23:36,87
30/05/17 23:36,83
30/05/17 23:31,85
30/05/17 23:31,82
30/05/17 23:26,85
30/05/17 23:26,83
30/05/17 23:21,86
30/05/17 23:21,82
30/05/17 23:16,86
30/05/17 23:16,82
30/05/17 23:11,86
30/05/17 23:11,82
30/05/17 23:06,86
30/05/17 23:06,82
30/05/17 23:01,85
30/05/17 23:01,83
30/05/17 22:56,86
30/05/17 22:56,84
30/05/17 22:51,86
30/05/17 22:51,85
30/05/17 22:51,83
30/05/17 22:46,86
30/05/17 22:46,82
30/05/17 22:41,86
30/05/17 22:41,86
30/05/17 22:41,82
30/05/17 22:36,87
30/05/17 22:36,86
30/05/17 22:36,84
30/05/17 22:31,86
30/05/17 22:31,86
30/05/17 22:31,84
30/05/17 22:26,86
30/05/17 22:26,84
30/05/17 22:21,85
30/05/17 22:21,84
30/05/17 22:16,86
30/05/17 22:16,84
30/05/17 22:11,86
30/05/17 22:11,83
30/05/17 22:06,85
30/05/17 22:06,85
30/05/17 22:06,83
30/05/17 22:01,86
30/05/17 22:01,82
30/05/17 21:56,86
30/05/17 21:56,83
30/05/17 21:51,85
30/05/17 21:51,83
30/05/17 21:46,85
30/05/17 21:46,82
30/05/17 21:41,85
30/05/17 21:41,82
30/05/17 21:36,86
30/05/17 21:36,86
30/05/17 21:36,84
30/05/17 21:31,86
30/05/17 21:31,83
30/05/17 21:26,85
30/05/17 21:26,84
30/05/17 21:21,85
30/05/17 21:21,84
30/05/17 21:16,85
30/05/17 21:16,84
30/05/17 21:11,85
30/05/17 21:11,85
30/05/17 21:11,85
30/05/17 21:06,85
30/05/17 21:06,88
30/05/17 21:01,85
30/05/17 21:01,87
30/05/17 20:56,86
30/05/17 20:56,88
30/05/17 20:56,28
30/05/17 20:51,86
30/05/17 20:51,85
30/05/17 20:51,73
30/05/17 20:51,86
30/05/17 20:51,28
30/05/17 20:46,85
30/05/17 20:46,73
30/05/17 20:46,86
30/05/17 20:46,28
30/05/17 20:41,86
30/05/17 20:41,86
30/05/17 20:41,73
30/05/17 20:41,28
30/05/17 20:36,86
30/05/17 20:36,87
30/05/17 20:36,73
30/05/17 20:36,28
30/05/17 20:31,85
30/05/17 20:31,86
30/05/17 20:31,28
30/05/17 20:26,85
30/05/17 20:26,85
30/05/17 20:26,72
30/05/17 20:26,91
30/05/17 20:26,28
30/05/17 20:21,85
30/05/17 20:21,72
30/05/17 20:21,84
30/05/17 20:21,28
30/05/17 20:16,85
30/05/17 20:16,85
30/05/17 20:16,72
30/05/17 20:16,28
30/05/17 20:11,86
30/05/17 20:11,89
30/05/17 20:11,28
30/05/17 20:11,72
30/05/17 20:06,85
30/05/17 20:06,87
30/05/17 20:06,28
30/05/17 20:01,85
30/05/17 20:01,73
30/05/17 20:01,86
30/05/17 20:01,28
30/05/17 19:56,85
30/05/17 19:56,86
30/05/17 19:56,73
30/05/17 19:56,28
30/05/17 19:51,85
30/05/17 19:51,86
30/05/17 19:51,28
30/05/17 19:46,85
30/05/17 19:46,85
30/05/17 19:46,86
30/05/17 19:46,73
30/05/17 19:46,28
30/05/17 19:41,85
30/05/17 19:41,73
30/05/17 19:41,28
30/05/17 19:41,86
30/05/17 19:36,85
30/05/17 19:36,85
30/05/17 19:36,28
30/05/17 19:36,85
30/05/17 19:36,73
30/05/17 19:31,85
30/05/17 19:31,73
30/05/17 19:31,85
30/05/17 19:31,28
30/05/17 19:26,85
30/05/17 19:26,73
30/05/17 19:26,86
30/05/17 19:26,28
30/05/17 19:21,85
30/05/17 19:21,86
30/05/17 19:21,85
30/05/17 19:21,28
30/05/17 19:16,84
30/05/17 19:16,73
30/05/17 19:16,86
30/05/17 19:16,28
30/05/17 19:11,85
30/05/17 19:11,73
30/05/17 19:11,85
30/05/17 19:11,28
30/05/17 19:06,85
30/05/17 19:06,85
30/05/17 19:06,73
30/05/17 19:06,28
30/05/17 19:01,85
30/05/17 19:01,85
30/05/17 19:01,73
30/05/17 19:01,28
30/05/17 18:56,80
30/05/17 18:56,80
30/05/17 18:56,87
30/05/17 18:56,73
30/05/17 18:56,28
30/05/17 18:51,79
30/05/17 18:51,84
30/05/17 18:51,28
30/05/17 18:46,79
30/05/17 18:46,84
30/05/17 18:46,72
30/05/17 18:46,27
30/05/17 18:41,77
30/05/17 18:41,83
30/05/17 18:41,73
30/05/17 18:41,54
30/05/17 18:36,74
30/05/17 18:36,53
30/05/17 18:36,84
30/05/17 18:36,71
30/05/17 18:31,77
30/05/17 18:31,77
30/05/17 18:31,84
30/05/17 18:31,53
30/05/17 18:26,76
30/05/17 18:26,76
30/05/17 18:26,84
30/05/17 18:26,70
30/05/17 18:26,44
30/05/17 18:21,79
30/05/17 18:21,84
30/05/17 18:21,71
30/05/17 18:16,77
30/05/17 18:16,77
30/05/17 18:16,84
30/05/17 18:16,70
30/05/17 18:16,26
30/05/17 18:11,76
30/05/17 18:11,76
30/05/17 18:11,70
30/05/17 18:11,23
30/05/17 18:11,82
30/05/17 18:06,77
30/05/17 18:06,24
30/05/17 18:06,82
30/05/17 18:01,76
30/05/17 18:01,76
30/05/17 18:01,81
30/05/17 18:01,27
30/05/17 18:01,72
30/05/17 17:56,43
30/05/17 17:56,76
30/05/17 17:56,71
30/05/17 17:56,81
30/05/17 17:51,76
30/05/17 17:51,72
30/05/17 17:51,80
30/05/17 17:51,62
30/05/17 17:46,77
30/05/17 17:46,77
30/05/17 17:46,80
30/05/17 17:46,72
30/05/17 17:46,62
30/05/17 17:41,76
30/05/17 17:41,76
30/05/17 17:41,79
30/05/17 17:41,72
30/05/17 17:41,62
30/05/17 17:36,76
30/05/17 17:36,80
30/05/17 17:36,72
30/05/17 17:36,61
30/05/17 17:31,76
30/05/17 17:31,80
30/05/17 17:31,61
30/05/17 17:26,76
30/05/17 17:26,72
30/05/17 17:26,79
30/05/17 17:26,61
30/05/17 17:21,76
30/05/17 17:21,76
30/05/17 17:21,79
30/05/17 17:21,71
30/05/17 17:21,61
30/05/17 17:16,76
30/05/17 17:16,79
30/05/17 17:16,71
30/05/17 17:16,61
30/05/17 17:11,76
30/05/17 17:11,76
30/05/17 17:11,71
